SettlementPeriod,ForecastSolar,ActualSolar,Difference
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,114.0,44.0,-70.0
17,528.0,333.0,-195.0
18,1141.0,676.0,-465.0
19,1824.0,1043.0,-781.0
20,2509.0,1319.0,-1190.0
21,3131.0,1648.0,-1483.0
22,3599.0,1828.0,-1771.0
23,5866.0,2204.0,-3662.0
24,5877.0,2400.0,-3477.0
25,5549.0,2299.0,-3250.0
26,5009.0,2342.0,-2667.0
27,4375.0,2011.0,-2364.0
28,3629.0,1655.0,-1974.0
29,2745.0,1295.0,-1450.0
30,1779.0,836.0,-943.0
31,841.0,405.0,-436.0
32,177.0,117.0,-60.0
33,0.0,2.0,2.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
