SettlementPeriod,Imbalance_Ref,Imbalance_Today,Delta
1,575.6285714285714,-7933.728571428572,-8509.357142857143
2,117.40845070422536,-8405.845070422536,-8523.253521126762
3,403.19718309859155,-7508.180555555556,-7911.377738654147
4,990.0281690140845,-6462.027397260274,-7452.055566274358
5,1091.6805555555557,-5769.405405405405,-6861.085960960961
6,1118.3561643835617,-4954.96,-6073.316164383562
7,1589.7837837837837,-4462.105263157895,-6051.889046941678
8,1784.6666666666667,-4042.4805194805194,-5827.147186147186
9,2079.84,-3813.1153846153848,-5892.955384615385
10,1973.6184210526317,-3250.240506329114,-5223.858927381745
11,2162.0625,700.7352941176471,-1461.327205882353
12,1629.7272727272727,1378.142857142857,-251.58441558441564
13,1325.264705882353,1060.638888888889,-264.625816993464
14,740.1142857142858,1013.5405405405405,273.42625482625476
15,1427.9166666666667,708.2368421052631,-719.6798245614036
16,1631.918918918919,830.974358974359,-800.94455994456
17,2406.8684210526317,978.6,-1428.2684210526318
18,2073.948717948718,-22.463414634146343,-2096.412132582864
19,2058.230769230769,828.9756097560976,-1229.2551594746715
20,2037.925,601.952380952381,-1435.972619047619
21,2389.243902439024,322.0232558139535,-2067.220646625071
22,2282.1428571428573,456.4651162790698,-1825.6777408637877
23,2282.4418604651164,136.8139534883721,-2145.6279069767443
24,2306.568181818182,-83.69767441860465,-2390.2658562367865
25,2299.8,-44.46511627906977,-2344.26511627907
26,2321.511111111111,-67.74418604651163,-2389.2552971576224
27,2414.9347826086955,711.3255813953489,-1703.6092012133468
28,2720.744680851064,519.4418604651163,-2201.3028203859476
29,2405.6875,63.58139534883721,-2342.1061046511627
30,2030.6938775510205,642.2790697674419,-1388.4148077835785
31,1333.9,1001.5348837209302,-332.36511627906987
32,803.6274509803922,518.2790697674419,-285.34838121295024
33,640.4807692307693,185.2093023255814,-455.2714669051879
34,-19.18867924528302,-1111.7441860465117,-1092.5555068012286
35,497.0925925925926,-1593.906976744186,-2090.9995693367787
36,372.85185185185185,-1353.9767441860465,-1726.8285960378985
37,144.1818181818182,-1154.4651162790697,-1298.646934460888
38,1111.5357142857142,-929.1162790697674,-2040.6519933554816
39,901.1052631578947,-378.93023255813955,-1280.0354957160343
40,1345.396551724138,483.27906976744185,-862.1174819566961
41,1086.3559322033898,266.6279069767442,-819.7280252266455
42,571.5333333333333,4.906976744186046,-566.6263565891472
43,746.0,-231.1860465116279,-977.1860465116279
44,937.4677419354839,-268.72093023255815,-1206.188672168042
45,184.33333333333334,-977.7906976744187,-1162.124031007752
46,803.90625,-88.20930232558139,-892.1155523255813
47,-1090.4558823529412,-5728.735294117647,-4638.279411764705
48,52.65217391304348,-8187.913043478261,-8240.565217391304
